detail_id,transaction_id,item_id,quantity,item_name,item_price,price
0,T0000002580,S004,1,PC-D,180000,180000
1,T0000004391,S004,4,PC-D,180000,720000
2,T0000002159,S002,2,PC-B,85000,170000
3,T0000005708,S004,4,PC-D,180000,720000
4,T0000003248,S002,3,PC-B,85000,255000
5,T0000006486,S001,1,PC-A,50000,50000
6,T0000003731,S002,4,PC-B,85000,340000
7,T0000006244,S005,1,PC-E,210000,210000
8,T0000003829,S005,4,PC-E,210000,840000
9,T0000006772,S003,1,PC-C,120000,120000
10,T0000001627,S004,3,PC-D,180000,540000
11,T0000003472,S004,1,PC-D,180000,180000
12,T0000000027,S002,3,PC-B,85000,255000
13,T0000001985,S004,3,PC-D,180000,540000
14,T0000005656,S005,4,PC-E,210000,840000
15,T0000004153,S001,4,PC-A,50000,200000
16,T0000001521,S002,4,PC-B,85000,340000
17,T0000000296,S004,3,PC-D,180000,540000
18,T0000002181,S005,2,PC-E,210000,420000
19,T0000003402,S003,2,PC-C,120000,240000
20,T0000002296,S004,3,PC-D,180000,540000
21,T0000002597,S001,3,PC-A,50000,150000
22,T0000000901,S001,4,PC-A,50000,200000
23,T0000006060,S004,4,PC-D,180000,720000
24,T0000001098,S004,4,PC-D,180000,720000
25,T0000001677,S005,2,PC-E,210000,420000
26,T0000002881,S004,2,PC-D,180000,360000
27,T0000005287,S003,3,PC-C,120000,360000
28,T0000004866,S005,2,PC-E,210000,420000
29,T0000005622,S002,4,PC-B,85000,340000
30,T0000001378,S003,4,PC-C,120000,480000
31,T0000001248,S005,4,PC-E,210000,840000
32,T0000003735,S005,4,PC-E,210000,840000
33,T0000005650,S001,4,PC-A,50000,200000
34,T0000004241,S005,1,PC-E,210000,210000
35,T0000006079,S003,3,PC-C,120000,360000
36,T0000001264,S004,3,PC-D,180000,540000
37,T0000001907,S003,2,PC-C,120000,240000
38,T0000006487,S002,4,PC-B,85000,340000
39,T0000005868,S005,1,PC-E,210000,210000
40,T0000001058,S005,4,PC-E,210000,840000
41,T0000002749,S005,4,PC-E,210000,840000
42,T0000002048,S005,2,PC-E,210000,420000
43,T0000006115,S001,1,PC-A,50000,50000
44,T0000004248,S001,1,PC-A,50000,50000
45,T0000002476,S004,3,PC-D,180000,540000
46,T0000004016,S005,4,PC-E,210000,840000
47,T0000004603,S002,1,PC-B,85000,85000
48,T0000003197,S004,3,PC-D,180000,540000
49,T0000004586,S005,1,PC-E,210000,210000
50,T0000003553,S001,4,PC-A,50000,200000
51,T0000004440,S002,3,PC-B,85000,255000
52,T0000006031,S004,1,PC-D,180000,180000
53,T0000001761,S002,2,PC-B,85000,170000
54,T0000000220,S005,1,PC-E,210000,210000
55,T0000006034,S003,4,PC-C,120000,480000
56,T0000006038,S002,2,PC-B,85000,170000
57,T0000004818,S002,1,PC-B,85000,85000
58,T0000004623,S001,1,PC-A,50000,50000
59,T0000005618,S005,3,PC-E,210000,630000
60,T0000002888,S002,4,PC-B,85000,340000
61,T0000001664,S005,1,PC-E,210000,210000
62,T0000003986,S001,1,PC-A,50000,50000
63,T0000004576,S005,1,PC-E,210000,210000
64,T0000002977,S001,4,PC-A,50000,200000
65,T0000001871,S001,2,PC-A,50000,100000
66,T0000001462,S004,4,PC-D,180000,720000
67,T0000005521,S005,3,PC-E,210000,630000
68,T0000000344,S003,3,PC-C,120000,360000
69,T0000000044,S004,4,PC-D,180000,720000
70,T0000002068,S001,1,PC-A,50000,50000
71,T0000005753,S003,1,PC-C,120000,120000
72,T0000005983,S002,2,PC-B,85000,170000
73,T0000006191,S002,4,PC-B,85000,340000
74,T0000001514,S004,4,PC-D,180000,720000
75,T0000002598,S003,1,PC-C,120000,120000
76,T0000006430,S005,3,PC-E,210000,630000
77,T0000001001,S003,3,PC-C,120000,360000
78,T0000001033,S004,2,PC-D,180000,360000
79,T0000006685,S005,2,PC-E,210000,420000
80,T0000002040,S005,3,PC-E,210000,630000
81,T0000000273,S002,4,PC-B,85000,340000
82,T0000005051,S003,2,PC-C,120000,240000
83,T0000002647,S005,1,PC-E,210000,210000
84,T0000001779,S004,4,PC-D,180000,720000
85,T0000004476,S002,1,PC-B,85000,85000
86,T0000005448,S005,2,PC-E,210000,420000
87,T0000000478,S003,3,PC-C,120000,360000
88,T0000006158,S002,2,PC-B,85000,170000
89,T0000000515,S003,3,PC-C,120000,360000
90,T0000004286,S003,4,PC-C,120000,480000
91,T0000001191,S003,2,PC-C,120000,240000
92,T0000002668,S002,2,PC-B,85000,170000
93,T0000005256,S005,2,PC-E,210000,420000
94,T0000006297,S001,4,PC-A,50000,200000
95,T0000001411,S005,1,PC-E,210000,210000
96,T0000003280,S002,1,PC-B,85000,85000
97,T0000000271,S001,3,PC-A,50000,150000
98,T0000000142,S001,2,PC-A,50000,100000
99,T0000006008,S001,1,PC-A,50000,50000
100,T0000005188,S004,4,PC-D,180000,720000
101,T0000006390,S002,2,PC-B,85000,170000
102,T0000003332,S004,3,PC-D,180000,540000
103,T0000000787,S001,1,PC-A,50000,50000
104,T0000006222,S004,4,PC-D,180000,720000
105,T0000001681,S004,4,PC-D,180000,720000
106,T0000000622,S002,3,PC-B,85000,255000
107,T0000003841,S003,1,PC-C,120000,120000
108,T0000003676,S004,2,PC-D,180000,360000
109,T0000002572,S004,4,PC-D,180000,720000
110,T0000005033,S001,3,PC-A,50000,150000
111,T0000003260,S001,4,PC-A,50000,200000
112,T0000005214,S001,4,PC-A,50000,200000
113,T0000004712,S005,1,PC-E,210000,210000
114,T0000005127,S004,1,PC-D,180000,180000
115,T0000000066,S001,2,PC-A,50000,100000
116,T0000004286,S002,4,PC-B,85000,340000
117,T0000004616,S005,3,PC-E,210000,630000
118,T0000005085,S003,4,PC-C,120000,480000
119,T0000001140,S004,3,PC-D,180000,540000
120,T0000002314,S004,4,PC-D,180000,720000
121,T0000005730,S002,3,PC-B,85000,255000
122,T0000002532,S003,4,PC-C,120000,480000
123,T0000003580,S003,4,PC-C,120000,480000
124,T0000001187,S005,2,PC-E,210000,420000
125,T0000004471,S004,1,PC-D,180000,180000
126,T0000004748,S001,1,PC-A,50000,50000
127,T0000003339,S002,3,PC-B,85000,255000
128,T0000000548,S002,4,PC-B,85000,340000
129,T0000005193,S002,4,PC-B,85000,340000
130,T0000004087,S002,1,PC-B,85000,85000
131,T0000000072,S001,3,PC-A,50000,150000
132,T0000006451,S001,2,PC-A,50000,100000
133,T0000000198,S005,2,PC-E,210000,420000
134,T0000003201,S004,2,PC-D,180000,360000
135,T0000001781,S001,4,PC-A,50000,200000
